time_s,rppg,ppg
1762522899.188931,0.030517,0.046710
1762522899.222265,-0.036589,-0.131645
1762522899.255598,-0.243688,-0.230186
1762522899.288932,-0.489036,-0.258556
1762522899.322266,-0.648998,-0.247582
1762522899.355599,-0.564811,-0.236088
1762522899.388933,-0.317816,-0.256452
1762522899.422266,0.026094,-0.324244
1762522899.455600,0.231733,-0.434643
1762522899.488934,0.165911,-0.565119
1762522899.522267,-0.260329,-0.681894
1762522899.555601,-0.857335,-0.747572
1762522899.588935,-1.428916,-0.728494
1762522899.622268,-1.677767,-0.601522
1762522899.655602,-1.466687,-0.360171
1762522899.688936,-0.781719,-0.019148
1762522899.722269,0.188206,0.384513
1762522899.755603,1.224152,0.795443
1762522899.788936,2.057418,1.149323
1762522899.822270,2.510891,1.385753
1762522899.855604,2.435080,1.461157
1762522899.888937,1.992028,1.358031
1762522899.922271,1.234110,1.088248
1762522899.955605,0.475561,0.690147
1762522899.988938,-0.258263,0.220867
1762522900.022272,-0.739913,-0.253859
1762522900.055605,-1.080299,-0.670327
1762522900.088939,-1.260873,-0.976351
1762522900.122273,-1.403009,-1.138649
1762522900.155606,-1.471661,-1.147415
1762522900.188940,-1.469930,-1.017418
1762522900.222274,-1.280654,-0.785072
1762522900.255607,-0.917706,-0.501416
1762522900.288941,-0.323313,-0.221948
1762522900.322274,0.302788,0.004652
1762522900.355608,0.897175,0.146224
1762522900.388942,1.121849,0.192742
1762522900.422275,0.988734,0.156450
1762522900.455609,0.468980,0.066788
1762522900.488943,-0.220317,-0.038067
1762522900.522276,-0.867367,-0.120538
1762522900.555610,-1.165197,-0.151630
1762522900.588943,-0.996780,-0.116178
1762522900.622277,-0.442498,-0.014891
1762522900.655611,0.284992,0.136608
1762522900.688944,0.967824,0.311221
1762522900.722278,1.356539,0.475740
1762522900.755612,1.367559,0.597498
1762522900.788945,1.029003,0.651341
1762522900.822279,0.607191,0.625507
1762522900.855613,0.212059,0.524837
1762522900.888946,0.024121,0.370080
1762522900.922280,-0.003656,0.192963
1762522900.955613,0.082062,0.028061
1762522900.988947,0.099002,-0.096206
1762522901.022281,0.003052,-0.164741
1762522901.055614,-0.218983,-0.178934
1762522901.088948,-0.407165,-0.154988
1762522901.122282,-0.522958,-0.117997
1762522901.155615,-0.452001,-0.093611
1762522901.188949,-0.209505,-0.099786
1762522901.222282,0.081001,-0.141158
1762522901.255616,0.272769,-0.207731
1762522901.288950,0.206476,-0.278244
1762522901.322284,-0.180283,-0.327080
1762522901.355617,-0.643744,-0.332492
1762522901.388951,-1.089340,-0.283572
1762522901.422284,-1.183970,-0.183993
1762522901.455618,-0.944535,-0.051629
1762522901.488952,-0.274090,0.085559
1762522901.522285,0.454844,0.196117
1762522901.555619,1.117313,0.252452
1762522901.588953,1.295188,0.237340
1762522901.622286,1.014717,0.148389
1762522901.655620,0.285374,-0.000250
1762522901.688953,-0.549163,-0.179278
1762522901.722287,-1.258230,-0.348963
1762522901.755621,-1.550323,-0.467017
1762522901.788954,-1.375220,-0.498606
1762522901.822288,-0.798615,-0.426169
1762522901.855622,-0.162936,-0.255799
1762522901.888955,0.454921,-0.017387
1762522901.922289,0.832037,0.242461
1762522901.955622,1.026141,0.472996
1762522901.988956,0.976835,0.633268
1762522902.022290,0.889657,0.702408
1762522902.055623,0.785363,0.682630
1762522902.088957,0.747771,0.594357
1762522902.122291,0.587393,0.466187
1762522902.155624,0.501682,0.324291
1762522902.188958,0.255527,0.185529
1762522902.222291,0.142838,0.056374
1762522902.255625,-0.059089,-0.063324
1762522902.288959,-0.133660,-0.174830
1762522902.322292,-0.211652,-0.276577
1762522902.355626,-0.220721,-0.363428
1762522902.388960,-0.345915,-0.428615
1762522902.422293,-0.423359,-0.466493
1762522902.455627,-0.561371,-0.474283
1762522902.488961,-0.577334,-0.452135
1762522902.522294,-0.560380,-0.402046
1762522902.555628,-0.487072,-0.326882
1762522902.588961,-0.355860,-0.230338
1762522902.622295,-0.135615,-0.117656
1762522902.655629,-0.078568,0.003837
1762522902.688962,0.054181,0.125142
1762522902.722296,0.081685,0.236871
1762522902.755630,0.201658,0.330585
1762522902.788963,0.238002,0.399410
1762522902.822297,0.275432,0.437861
1762522902.855630,0.244904,0.441708
1762522902.888964,0.226833,0.408825
1762522902.922298,0.158779,0.341178
1762522902.955631,0.103230,0.246853
1762522902.988965,-0.035645,0.140440
1762522903.022299,-0.235633,0.040676
1762522903.055632,-0.372328,-0.034318
1762522903.088966,-0.582188,-0.072495
1762522903.122299,-0.652205,-0.071868
1762522903.155633,-0.535930,-0.041424
1762522903.188967,-0.329114,0.001406
1762522903.222301,0.002268,0.035762
1762522903.255634,0.307115,0.043119
1762522903.288968,0.513752,0.012108
1762522903.322301,0.435787,-0.058656
1762522903.355635,0.243637,-0.160197
1762522903.388968,-0.120685,-0.275197
1762522903.422302,-0.420757,-0.382037
1762522903.455636,-0.565903,-0.460035
1762522903.488970,-0.576307,-0.494626
1762522903.522303,-0.235446,-0.480910
1762522903.555637,0.114427,-0.424192
1762522903.588970,0.589159,-0.337268
1762522903.622304,0.950107,-0.337268
1762522903.655638,1.259118,-0.337268
1762522903.688971,1.257229,-0.337268
1762522903.722305,1.267698,-0.337268
1762522903.755639,0.234328,-0.029890
1762522903.788972,-0.044154,-0.373392
1762522903.822306,-0.553850,-0.691656
1762522903.855639,-1.208614,-0.909181
1762522903.888973,-1.733515,-0.971050
1762522903.922307,-1.898803,-0.857926
1762522903.955640,-1.482981,-0.588685
1762522903.988974,-0.597259,-0.211534
1762522904.022308,0.606604,0.209872
1762522904.055641,1.673290,0.608486
1762522904.088975,2.383700,0.921791
1762522904.122308,2.449920,1.097855
1762522904.155642,2.037496,1.102771
1762522904.188976,1.294114,0.929668
1762522904.222309,0.583503,0.605508
1762522904.255643,-0.033098,0.190129
1762522904.288977,-0.436520,-0.235550
1762522904.322310,-0.810100,-0.589844
1762522904.355644,-1.097972,-0.811751
1762522904.388978,-1.350039,-0.874816
1762522904.422311,-1.390151,-0.788211
1762522904.455645,-1.190314,-0.586256
1762522904.488978,-0.656600,-0.313223
1762522904.522312,0.032449,-0.011629
1762522904.555646,0.743277,0.281348
1762522904.588979,1.136623,0.530871
1762522904.622313,1.242795,0.701113
1762522904.655647,1.012699,0.757972
1762522904.688980,0.731574,0.679562
1762522904.722314,0.412323,0.469812
1762522904.755647,0.203162,0.166606
1762522904.788981,-0.113217,-0.162635
1762522904.822315,-0.495398,-0.438836
1762522904.855648,-1.048445,-0.596214
1762522904.888982,-1.522069,-0.603701
1762522904.922316,-1.752774,-0.473736
1762522904.955649,-1.425147,-0.255429
1762522904.988983,-0.613210,-0.016309
1762522905.022316,0.535241,0.178793
1762522905.055650,1.482107,0.283707
1762522905.088984,1.916496,0.278044
1762522905.122317,1.516252,0.166757
1762522905.155651,0.535156,-0.024140
1762522905.188985,-0.735225,-0.252871
1762522905.222318,-1.713715,-0.468031
1762522905.255652,-2.159221,-0.617065
1762522905.288985,-1.869963,-0.657750
1762522905.322319,-1.110071,-0.570463
1762522905.355653,-0.113843,-0.366427
1762522905.388987,0.705011,-0.087063
1762522905.422320,1.195202,0.207213
1762522905.455654,1.268160,0.455509
1762522905.488987,1.098683,0.615172
1762522905.522321,0.794563,0.673188
1762522905.555655,0.507404,0.646108
1762522905.588988,0.273333,0.569535
1762522905.622322,0.219525,0.482526
1762522905.655656,0.261670,0.413617
1762522905.688989,0.402278,0.373407
1762522905.722323,0.487229,0.355064
1762522905.755656,0.563520,0.340767
1762522905.788990,0.538468,0.310458
1762522905.822324,0.451382,0.249474
1762522905.855657,0.241363,0.152928
1762522905.888991,0.037944,0.026275
1762522905.922325,-0.198928,-0.117369
1762522905.955658,-0.372553,-0.261853
1762522905.988992,-0.537668,-0.393028
1762522906.022326,-0.644647,-0.502506
1762522906.055659,-0.743407,-0.588745
1762522906.088993,-0.784800,-0.654924
1762522906.122326,-0.783058,-0.704491
1762522906.155660,-0.760864,-0.736449
1762522906.188994,-0.736615,-0.742776
1762522906.222327,-0.765721,-0.709411
1762522906.255661,-0.813595,-0.620540
1762522906.288995,-0.839253,-0.464475
1762522906.322328,-0.765120,-0.238928
1762522906.355662,-0.505114,0.045779
1762522906.388995,-0.047144,0.365884
1762522906.422329,0.592385,0.685367
1762522906.455663,1.212364,0.959008
1762522906.488996,1.728452,1.137947
1762522906.522330,1.938467,1.178523
1762522906.555664,1.841384,1.054024
1762522906.588997,1.416702,0.766550
1762522906.622331,0.778815,0.354114
1762522906.655664,-0.022150,-0.111881
1762522906.688998,-0.856462,-0.540652
1762522906.722332,-1.599183,-0.844428
1762522906.755665,-2.088887,-0.961764
1762522906.788999,-2.160497,-0.873285
1762522906.822333,-1.679848,-0.604451
1762522906.855666,-0.720466,-0.215658
1762522906.889000,0.540118,0.214967
1762522906.922333,1.659375,0.608902
1762522906.955667,2.372206,0.899628
1762522906.989001,2.422777,1.039264
1762522907.022334,1.897472,1.001966
1762522907.055668,0.977651,0.786971
1762522907.089002,0.073820,0.421605
1762522907.122335,-0.598830,-0.038536
1762522907.155669,-0.963725,-0.516034
1762522907.189003,-1.140729,-0.926215
1762522907.222336,-1.293764,-1.196839
1762522907.255670,-1.483517,-1.286059
1762522907.289003,-1.699403,-1.191291
1762522907.322337,-1.734332,-0.945359
1762522907.355671,-1.404509,-0.602246
1762522907.389004,-0.687264,-0.219585
1762522907.422338,0.298428,0.154245
1762522907.455672,1.193564,0.484169
1762522907.489005,1.739811,0.745058
1762522907.522339,1.765273,0.916609
1762522907.555673,1.423767,0.982216
1762522907.589006,0.844029,0.933827
1762522907.622340,0.367021,0.779650
1762522907.655674,0.112016,0.548675
1762522907.689007,0.055030,0.287165
1762522907.722341,0.030517,0.046710
1762522907.755674,-0.036589,-0.131645
1762522907.789008,-0.243688,-0.230186
1762522907.822342,-0.489036,-0.258556
1762522907.855675,-0.648998,-0.247582
1762522907.889009,-0.564811,-0.236088
1762522907.922343,-0.317816,-0.256452
1762522907.955676,0.026094,-0.324244
1762522907.989010,0.231733,-0.434643
1762522908.022343,0.165911,-0.565119
1762522908.055677,-0.260329,-0.681894
1762522908.089011,-0.857335,-0.747572
1762522908.122344,-1.428916,-0.728494
1762522908.155678,-1.677767,-0.601522
1762522908.189012,-1.466687,-0.360171
1762522908.222345,-0.781719,-0.019148
1762522908.255679,0.188206,0.384513
1762522908.289012,1.224152,0.795443
1762522908.322346,2.057418,1.149323
1762522908.355680,2.510891,1.385753
1762522908.389013,2.435080,1.461157
1762522908.422347,1.992028,1.358031
1762522908.455681,1.234110,1.088248
1762522908.489014,0.475561,0.690147
1762522908.522348,-0.258263,0.220867
1762522908.555681,-0.739913,-0.253859
1762522908.589015,-1.080299,-0.670327
1762522908.622349,-1.260873,-0.976351
1762522908.655682,-1.403009,-1.138649
1762522908.689016,-1.471661,-1.147415
1762522908.722350,-1.469930,-1.017418
1762522908.755683,-1.280654,-0.785072
1762522908.789017,-0.917706,-0.501416
1762522908.822351,-0.323313,-0.221948
1762522908.855684,0.302788,0.004652
1762522908.889018,0.897175,0.146224
1762522908.922351,1.121849,0.192742
1762522908.955685,0.988734,0.156450
1762522908.989019,0.468980,0.066788
1762522909.022352,-0.220317,-0.038067
1762522909.055686,-0.867367,-0.120538
1762522909.089020,-1.165197,-0.151630
1762522909.122353,-0.996780,-0.116178
1762522909.155687,-0.442498,-0.014891
1762522909.189020,0.284992,0.136608
1762522909.222354,0.967824,0.311221
1762522909.255688,1.356539,0.475740
1762522909.289021,1.367559,0.597498
1762522909.322355,1.029003,0.651341
1762522909.355689,0.607191,0.625507
1762522909.389022,0.212059,0.524837
1762522909.422356,0.024121,0.370080
1762522909.455689,-0.003656,0.192963
1762522909.489023,0.082062,0.028061
1762522909.522357,0.099002,-0.096206
1762522909.555691,0.003052,-0.164741
1762522909.589024,-0.218983,-0.178934
1762522909.622358,-0.407165,-0.154988
1762522909.655691,-0.522958,-0.117997
1762522909.689025,-0.452001,-0.093611
1762522909.722358,-0.209505,-0.099786
1762522909.755692,0.081001,-0.141158
1762522909.789026,0.272769,-0.207731
1762522909.822360,0.206476,-0.278244
1762522909.855693,-0.180283,-0.327080
1762522909.889027,-0.643744,-0.332492
1762522909.922360,-1.089340,-0.283572
1762522909.955694,-1.183970,-0.183993
1762522909.989028,-0.944535,-0.051629
1762522910.022361,-0.274090,0.085559
1762522910.055695,0.454844,0.196117
1762522910.089029,1.117313,0.252452
1762522910.122362,1.295188,0.237340
1762522910.155696,1.014717,0.148389
1762522910.189029,0.285374,-0.000250
1762522910.222363,-0.549163,-0.179278
1762522910.255697,-1.258230,-0.348963
1762522910.289030,-1.550323,-0.467017
1762522910.322364,-1.375220,-0.498606
1762522910.355698,-0.798615,-0.426169
1762522910.389031,-0.162936,-0.255799
1762522910.422365,0.454921,-0.017387
1762522910.455698,0.832037,0.242461
1762522910.489032,1.026141,0.472996
1762522910.522366,0.976835,0.633268
1762522910.555699,0.889657,0.702408
1762522910.589033,0.785363,0.682630
1762522910.622367,0.747771,0.594357
1762522910.655700,0.587393,0.466187
1762522910.689034,0.501682,0.324291
1762522910.722368,0.255527,0.185529
1762522910.755701,0.142838,0.056374
1762522910.789035,-0.059089,-0.063324
1762522910.822368,-0.133660,-0.174830
1762522910.855702,-0.211652,-0.276577
1762522910.889036,-0.220721,-0.363428
1762522910.922369,-0.345915,-0.428615
1762522910.955703,-0.423359,-0.466493
1762522910.989037,-0.561371,-0.474283
1762522911.022370,-0.577334,-0.452135
1762522911.055704,-0.560380,-0.402046
1762522911.089037,-0.487072,-0.326882
1762522911.122371,-0.355860,-0.230338
1762522911.155705,-0.135615,-0.117656
1762522911.189038,-0.078568,0.003837
1762522911.222372,0.054181,0.125142
1762522911.255706,0.081685,0.236871
1762522911.289039,0.201658,0.330585
1762522911.322373,0.238002,0.399410
1762522911.355706,0.275432,0.437861
1762522911.389040,0.244904,0.441708
1762522911.422374,0.226833,0.408825
1762522911.455707,0.158779,0.341178
1762522911.489041,0.103230,0.246853
1762522911.522375,-0.035645,0.140440
1762522911.555708,-0.235633,0.040676
1762522911.589042,-0.372328,-0.034318
